batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
1024,64,16,4,1,FAIL(137)
1024,64,16,1,4,FAIL(137)
1024,64,4,2,8,FAIL(137)
1024,64,4,1,16,FAIL(1)
1024,64,8,8,1,FAIL(1)
1024,64,16,2,2,FAIL(1)
1024,64,4,4,4,FAIL(1)
1024,64,64,1,1,FAIL(137)
1024,64,2,32,1,FAIL(1)
1024,64,16,1,4,FAIL(1)
1024,64,4,2,8,FAIL(1)
1024,64,8,4,2,FAIL(1)
1024,64,32,2,1,FAIL(137)
1024,64,2,16,2,FAIL(1)
1024,64,8,8,1,FAIL(1)
1024,64,8,2,4,FAIL(1)
1024,64,4,1,16,FAIL(1)
1024,64,32,1,2,FAIL(137)
1024,64,2,8,4,FAIL(1)
1024,64,8,1,8,FAIL(1)
1024,64,8,4,2,FAIL(1)
1024,64,2,32,1,FAIL(1)
1024,64,16,4,1,FAIL(137)
1024,64,2,4,8,FAIL(1)
1024,64,8,2,4,FAIL(1)
1024,64,4,16,1,FAIL(1)
1024,64,2,16,2,FAIL(1)
1024,64,16,2,2,FAIL(137)
1024,64,2,2,16,FAIL(1)
1024,64,8,1,8,FAIL(1)
1024,64,2,8,4,FAIL(1)
1024,64,4,8,2,FAIL(1)
1024,64,16,1,4,FAIL(137)
1024,64,2,1,32,FAIL(1)
1024,64,4,16,1,FAIL(1)
1024,64,2,4,8,FAIL(1)
1024,64,4,4,4,FAIL(1)
1024,64,8,8,1,FAIL(137)
512,4,64,1,1,FAIL(1)
1024,64,4,8,2,FAIL(1)
1024,64,2,2,16,FAIL(1)
1024,64,4,2,8,FAIL(1)
1024,64,8,4,2,FAIL(137)
512,4,32,2,1,FAIL(1)
1024,64,4,4,4,FAIL(1)
1024,64,2,1,32,FAIL(1)
1024,64,4,1,16,FAIL(1)
1024,64,8,2,4,FAIL(137)
512,4,32,1,2,FAIL(1)
512,4,64,1,1,FAIL(1)
1024,64,4,2,8,FAIL(1)
1024,64,2,32,1,FAIL(1)
1024,64,8,1,8,FAIL(137)
1024,64,4,16,1,OOM ERROR
512,4,16,4,1,FAIL(137)
1024,64,2,16,2,FAIL(137)
512,4,32,2,1,FAIL(137)
1024,64,4,1,16,FAIL(137)
1024,64,4,8,2,OOM ERROR
1024,64,2,32,1,FAIL(137)
1024,64,2,8,4,FAIL(137)
512,4,16,2,2,FAIL(137)
512,4,32,1,2,FAIL(137)
1024,64,4,4,4,OOM ERROR
1024,64,2,16,2,FAIL(137)
512,4,16,1,4,FAIL(137)
1024,64,2,4,8,FAIL(137)
512,4,16,4,1,FAIL(137)
1024,64,4,2,8,OOM ERROR
512,4,8,8,1,FAIL(137)
1024,64,2,8,4,FAIL(137)
512,4,16,2,2,FAIL(137)
1024,64,2,2,16,FAIL(137)
1024,64,4,1,16,FAIL(1)
1024,64,2,4,8,FAIL(137)
512,4,8,4,2,FAIL(137)
512,4,16,1,4,FAIL(137)
1024,64,2,1,32,FAIL(137)
1024,64,2,32,1,OOM ERROR
1024,64,2,2,16,FAIL(137)
512,4,8,2,4,FAIL(137)
512,4,8,8,1,FAIL(137)
512,4,64,1,1,FAIL(137)
1024,64,2,16,2,OOM ERROR
512,4,8,4,2,FAIL(137)
512,4,8,1,8,FAIL(137)
1024,64,2,1,32,FAIL(137)
512,4,32,2,1,FAIL(137)
1024,64,2,8,4,FAIL(1)
512,4,32,1,2,FAIL(137)
512,4,4,16,1,FAIL(137)
512,4,8,2,4,FAIL(137)
512,4,64,1,1,FAIL(137)
1024,64,2,4,8,OOM ERROR
512,4,16,4,1,FAIL(137)
512,4,4,8,2,FAIL(137)
512,4,8,1,8,FAIL(137)
512,4,32,2,1,FAIL(137)
1024,64,2,2,16,FAIL(1)
512,4,4,4,4,FAIL(137)
512,4,16,2,2,FAIL(137)
512,4,4,16,1,FAIL(137)
512,4,32,1,2,FAIL(137)
1024,64,2,1,32,OOM ERROR
512,4,4,8,2,FAIL(137)
512,4,16,1,4,FAIL(137)
512,4,4,2,8,FAIL(137)
512,4,16,4,1,FAIL(137)
512,4,4,4,4,FAIL(1)
512,4,4,1,16,FAIL(1)
512,4,8,8,1,FAIL(1)
512,4,16,2,2,FAIL(1)
512,4,64,1,1,FAIL(137)
512,4,4,2,8,FAIL(1)
512,4,2,32,1,FAIL(1)
512,4,8,4,2,FAIL(1)
512,4,16,1,4,FAIL(1)
512,4,32,2,1,FAIL(137)
512,4,2,16,2,FAIL(1)
512,4,4,1,16,FAIL(1)
512,4,8,2,4,FAIL(1)
512,4,8,8,1,FAIL(1)
512,4,32,1,2,FAIL(137)
512,4,2,8,4,FAIL(1)
512,4,2,32,1,FAIL(1)
512,4,8,1,8,FAIL(1)
512,4,8,4,2,FAIL(1)
512,4,16,4,1,FAIL(137)
512,4,2,16,2,FAIL(1)
512,4,2,4,8,FAIL(1)
512,4,8,2,4,FAIL(1)
512,4,16,2,2,FAIL(137)
512,4,4,16,1,FAIL(137)
512,4,2,8,4,FAIL(1)
512,4,8,1,8,FAIL(1)
512,4,2,2,16,FAIL(1)
512,4,4,8,2,FAIL(1)
512,4,16,1,4,FAIL(137)
512,4,2,4,8,FAIL(1)
512,4,4,16,1,FAIL(1)
512,4,2,1,32,FAIL(1)
512,4,4,4,4,FAIL(1)
512,4,8,8,1,FAIL(137)
512,4,4,8,2,FAIL(1)
512,4,2,2,16,FAIL(1)
512,8,64,1,1,FAIL(1)
512,4,4,2,8,FAIL(1)
512,4,8,4,2,FAIL(137)
512,8,32,2,1,FAIL(1)
512,4,4,4,4,FAIL(1)
512,4,2,1,32,FAIL(1)
512,4,4,1,16,FAIL(1)
512,4,8,2,4,FAIL(137)
512,4,4,2,8,FAIL(1)
512,8,32,1,2,FAIL(1)
512,8,64,1,1,FAIL(1)
512,4,2,32,1,FAIL(1)
512,4,8,1,8,FAIL(137)
512,4,4,16,1,FAIL(1)
512,8,16,4,1,FAIL(137)
512,8,32,2,1,FAIL(137)
512,4,4,1,16,FAIL(137)
512,4,2,16,2,FAIL(137)
512,4,4,8,2,OOM ERROR
512,8,32,1,2,FAIL(137)
512,4,2,32,1,FAIL(137)
512,8,16,2,2,FAIL(137)
512,4,2,8,4,FAIL(137)
512,4,4,4,4,FAIL(1)
512,8,16,4,1,FAIL(137)
512,4,2,16,2,FAIL(137)
512,8,16,1,4,FAIL(137)
512,4,2,4,8,FAIL(137)
512,4,4,2,8,FAIL(1)
512,8,8,8,1,FAIL(137)
512,8,16,2,2,FAIL(137)
512,4,2,2,16,FAIL(137)
512,4,2,8,4,FAIL(137)
512,4,4,1,16,FAIL(1)
512,4,2,4,8,FAIL(137)
512,8,16,1,4,FAIL(137)
512,8,8,4,2,FAIL(137)
512,4,2,1,32,FAIL(137)
512,4,2,32,1,OOM ERROR
512,8,8,8,1,FAIL(137)
512,8,8,2,4,FAIL(137)
512,8,64,1,1,FAIL(137)
512,4,2,2,16,FAIL(137)
512,4,2,16,2,FAIL(1)
512,8,8,4,2,FAIL(137)
512,8,32,2,1,FAIL(137)
512,8,8,1,8,FAIL(137)
512,4,2,1,32,FAIL(137)
512,4,2,8,4,OOM ERROR
512,8,32,1,2,FAIL(137)
512,8,4,16,1,FAIL(137)
512,8,8,2,4,FAIL(137)
512,8,64,1,1,FAIL(137)
512,4,2,4,8,OOM ERROR
512,8,8,1,8,FAIL(137)
512,8,4,8,2,FAIL(137)
512,8,32,2,1,FAIL(137)
512,8,16,4,1,FAIL(137)
512,4,2,2,16,OOM ERROR
512,8,4,4,4,FAIL(137)
512,8,4,16,1,FAIL(137)
512,8,16,2,2,FAIL(137)
512,8,32,1,2,FAIL(137)
512,4,2,1,32,OOM ERROR
512,8,4,8,2,FAIL(137)
512,8,4,2,8,FAIL(137)
512,8,16,1,4,FAIL(137)
512,8,16,4,1,FAIL(137)
512,8,4,1,16,FAIL(1)
512,8,8,8,1,FAIL(1)
512,8,16,2,2,FAIL(1)
512,8,4,4,4,FAIL(1)
512,8,64,1,1,FAIL(137)
512,8,2,32,1,FAIL(1)
512,8,8,4,2,FAIL(1)
512,8,16,1,4,FAIL(1)
512,8,4,2,8,FAIL(1)
512,8,32,2,1,FAIL(137)
512,8,2,16,2,FAIL(1)
512,8,8,2,4,FAIL(1)
512,8,4,1,16,FAIL(1)
512,8,8,8,1,FAIL(1)
512,8,32,1,2,FAIL(137)
512,8,2,8,4,FAIL(1)
512,8,2,32,1,FAIL(1)
512,8,8,1,8,FAIL(1)
512,8,8,4,2,FAIL(1)
512,8,16,4,1,FAIL(137)
512,8,2,4,8,FAIL(1)
512,8,2,16,2,FAIL(1)
512,8,4,16,1,FAIL(1)
512,8,8,2,4,FAIL(1)
512,8,16,2,2,FAIL(137)
512,8,2,2,16,FAIL(1)
512,8,2,8,4,FAIL(1)
512,8,8,1,8,FAIL(1)
512,8,4,8,2,FAIL(1)
512,8,16,1,4,FAIL(137)
512,8,2,4,8,FAIL(1)
512,8,4,4,4,FAIL(1)
512,8,2,1,32,FAIL(1)
512,8,4,16,1,FAIL(1)
512,8,8,8,1,FAIL(137)
512,8,2,2,16,FAIL(1)
512,8,4,2,8,FAIL(1)
512,16,64,1,1,FAIL(1)
512,8,4,8,2,FAIL(1)
512,8,8,4,2,FAIL(137)
512,8,2,1,32,FAIL(1)
512,8,4,1,16,FAIL(1)
512,16,32,2,1,FAIL(1)
512,8,4,4,4,FAIL(1)
512,8,8,2,4,FAIL(137)
512,16,64,1,1,FAIL(1)
512,8,2,32,1,FAIL(1)
512,8,4,2,8,FAIL(1)
512,16,32,1,2,FAIL(137)
512,8,8,1,8,FAIL(137)
512,8,4,16,1,OOM ERROR
512,16,32,2,1,FAIL(137)
512,8,2,16,2,FAIL(137)
512,16,16,4,1,FAIL(137)
512,8,4,1,16,FAIL(137)
512,8,4,8,2,OOM ERROR
512,16,16,2,2,FAIL(137)
512,8,2,8,4,FAIL(137)
512,16,32,1,2,FAIL(137)
512,8,2,32,1,FAIL(137)
512,8,4,4,4,OOM ERROR
512,8,2,4,8,FAIL(137)
512,8,2,16,2,FAIL(137)
512,16,16,1,4,FAIL(137)
512,16,16,4,1,FAIL(137)
512,8,4,2,8,OOM ERROR
512,8,2,2,16,FAIL(137)
512,16,16,2,2,FAIL(137)
512,8,2,8,4,FAIL(137)
512,16,8,8,1,FAIL(137)
512,8,4,1,16,OOM ERROR
512,8,2,1,32,FAIL(137)
512,16,16,1,4,FAIL(137)
512,8,2,4,8,FAIL(137)
512,16,8,4,2,FAIL(137)
512,8,2,32,1,FAIL(1)
512,16,8,8,1,FAIL(137)
512,8,2,2,16,FAIL(137)
512,16,8,2,4,FAIL(137)
512,16,64,1,1,FAIL(137)
512,8,2,16,2,FAIL(1)
512,16,8,1,8,FAIL(137)
512,16,8,4,2,FAIL(137)
512,8,2,1,32,FAIL(137)
512,16,32,2,1,FAIL(137)
512,8,2,8,4,OOM ERROR
512,16,8,2,4,FAIL(137)
512,16,4,16,1,FAIL(137)
512,16,64,1,1,FAIL(137)
512,16,32,1,2,FAIL(137)
512,8,2,4,8,OOM ERROR
512,16,4,8,2,FAIL(137)
512,16,8,1,8,FAIL(137)
512,16,32,2,1,FAIL(137)
512,16,16,4,1,FAIL(137)
512,8,2,2,16,OOM ERROR
512,16,4,4,4,FAIL(137)
512,16,16,2,2,FAIL(137)
512,16,32,1,2,FAIL(137)
512,16,4,16,1,FAIL(137)
512,8,2,1,32,OOM ERROR
512,16,4,2,8,FAIL(137)
512,16,4,8,2,FAIL(137)
512,16,16,4,1,FAIL(137)
512,16,16,1,4,FAIL(137)
512,16,4,4,4,FAIL(1)
512,16,8,8,1,FAIL(1)
512,16,16,2,2,FAIL(1)
512,16,4,1,16,FAIL(1)
512,16,64,1,1,FAIL(137)
512,16,4,2,8,FAIL(1)
512,16,8,4,2,FAIL(1)
512,16,2,32,1,FAIL(1)
512,16,16,1,4,FAIL(1)
512,16,32,2,1,FAIL(137)
512,16,4,1,16,FAIL(1)
512,16,8,2,4,FAIL(1)
512,16,2,16,2,FAIL(1)
512,16,8,8,1,FAIL(137)
512,16,32,1,2,FAIL(137)
512,16,2,32,1,FAIL(1)
512,16,8,1,8,FAIL(1)
512,16,2,8,4,FAIL(1)
512,16,8,4,2,FAIL(137)
512,16,16,4,1,FAIL(137)
512,16,2,16,2,FAIL(1)
512,16,4,16,1,FAIL(1)
512,16,2,4,8,FAIL(1)
512,16,8,2,4,FAIL(137)
512,16,16,2,2,FAIL(137)
512,16,2,8,4,FAIL(1)
512,16,4,8,2,FAIL(1)
512,16,8,1,8,FAIL(1)
512,16,2,2,16,FAIL(1)
512,16,16,1,4,FAIL(137)
512,16,2,4,8,FAIL(1)
512,16,4,4,4,FAIL(1)
512,16,4,16,1,FAIL(1)
512,16,2,1,32,FAIL(1)
512,16,8,8,1,FAIL(137)
512,16,2,2,16,FAIL(1)
512,16,4,2,8,FAIL(1)
512,16,4,8,2,FAIL(1)
512,32,64,1,1,FAIL(1)
512,16,8,4,2,FAIL(137)
512,16,2,1,32,FAIL(1)
512,16,4,4,4,FAIL(1)
512,16,4,1,16,FAIL(1)
512,32,32,2,1,FAIL(1)
512,16,8,2,4,FAIL(137)
512,32,64,1,1,FAIL(1)
512,16,2,32,1,FAIL(1)
512,32,32,1,2,FAIL(137)
512,16,4,2,8,FAIL(137)
512,16,8,1,8,FAIL(137)
512,16,4,16,1,FAIL(1)
512,16,2,16,2,FAIL(137)
512,32,16,4,1,FAIL(137)
512,16,4,1,16,FAIL(137)
512,32,32,2,1,FAIL(137)
512,16,4,8,2,FAIL(1)
512,32,16,2,2,FAIL(137)
512,32,32,1,2,FAIL(137)
512,16,2,8,4,FAIL(137)
512,16,2,32,1,FAIL(137)
512,16,4,4,4,OOM ERROR
512,32,16,1,4,FAIL(137)
512,16,2,4,8,FAIL(137)
512,32,16,4,1,FAIL(137)
512,16,2,16,2,FAIL(137)
512,16,4,2,8,FAIL(1)
512,16,2,2,16,FAIL(137)
512,32,8,8,1,FAIL(137)
512,32,16,2,2,FAIL(137)
512,16,2,8,4,FAIL(137)
512,16,4,1,16,OOM ERROR
512,32,8,4,2,FAIL(137)
512,16,2,1,32,FAIL(137)
512,32,16,1,4,FAIL(137)
512,16,2,4,8,FAIL(137)
512,16,2,32,1,OOM ERROR
512,16,2,2,16,FAIL(137)
512,32,8,2,4,FAIL(137)
512,32,64,1,1,FAIL(137)
512,32,8,8,1,FAIL(137)
512,16,2,16,2,OOM ERROR
512,32,32,2,1,FAIL(137)
512,32,8,4,2,FAIL(137)
512,32,8,1,8,FAIL(137)
512,16,2,1,32,FAIL(137)
512,16,2,8,4,FAIL(1)
512,32,64,1,1,FAIL(137)
512,32,4,16,1,FAIL(137)
512,32,8,2,4,FAIL(137)
512,32,32,1,2,FAIL(137)
512,16,2,4,8,FAIL(1)
512,32,4,8,2,FAIL(137)
512,32,32,2,1,FAIL(137)
512,32,8,1,8,FAIL(137)
512,32,16,4,1,FAIL(137)
512,16,2,2,16,OOM ERROR
512,32,4,16,1,FAIL(137)
512,32,32,1,2,FAIL(137)
512,32,16,2,2,FAIL(137)
512,32,4,4,4,FAIL(137)
512,16,2,1,32,FAIL(1)
512,32,16,1,4,FAIL(137)
512,32,4,8,2,FAIL(137)
512,32,16,4,1,FAIL(137)
512,32,4,2,8,FAIL(137)
512,32,16,2,2,FAIL(1)
512,32,4,4,4,FAIL(1)
512,32,4,1,16,FAIL(1)
512,32,8,8,1,FAIL(1)
512,32,64,1,1,FAIL(137)
512,32,2,32,1,FAIL(1)
512,32,4,2,8,FAIL(1)
512,32,8,4,2,FAIL(1)
512,32,16,1,4,FAIL(1)
512,32,32,2,1,FAIL(137)
512,32,2,16,2,FAIL(1)
512,32,4,1,16,FAIL(1)
512,32,8,8,1,FAIL(1)
512,32,8,2,4,FAIL(1)
512,32,32,1,2,FAIL(137)
512,32,2,32,1,FAIL(1)
512,32,2,8,4,FAIL(1)
512,32,8,4,2,FAIL(1)
512,32,8,1,8,FAIL(1)
512,32,16,4,1,EXCEPTION
512,32,2,4,8,FAIL(1)
512,32,2,16,2,FAIL(1)
512,32,4,16,1,FAIL(1)
512,32,16,2,2,FAIL(137)
512,32,8,2,4,FAIL(137)
512,32,2,2,16,FAIL(1)
512,32,2,8,4,FAIL(1)
512,32,4,8,2,FAIL(1)
512,32,8,1,8,FAIL(137)
512,32,16,1,4,FAIL(137)
512,32,2,1,32,FAIL(1)
512,32,2,4,8,FAIL(1)
512,32,4,4,4,FAIL(137)
512,32,4,16,1,FAIL(137)
512,32,8,8,1,FAIL(137)
512,32,2,2,16,FAIL(1)
512,64,64,1,1,FAIL(1)
512,32,8,4,2,FAIL(137)
512,32,4,8,2,FAIL(137)
512,32,4,2,8,FAIL(137)
512,64,32,2,1,FAIL(1)
512,32,2,1,32,FAIL(1)
512,32,4,1,16,FAIL(1)
512,32,8,2,4,FAIL(137)
512,32,4,4,4,FAIL(137)
512,64,64,1,1,FAIL(1)
512,64,32,1,2,FAIL(1)
512,32,2,32,1,FAIL(1)
512,32,4,2,8,FAIL(1)
512,32,8,1,8,FAIL(137)
512,32,4,16,1,FAIL(1)
512,32,2,16,2,FAIL(137)
512,64,32,2,1,FAIL(137)
512,64,16,4,1,FAIL(137)
512,32,4,1,16,FAIL(137)
512,32,4,8,2,FAIL(1)
512,32,2,32,1,FAIL(137)
512,64,32,1,2,FAIL(137)
512,64,16,2,2,FAIL(137)
512,32,2,8,4,FAIL(137)
512,32,4,4,4,FAIL(1)
512,64,16,1,4,FAIL(137)
512,64,16,4,1,FAIL(137)
512,32,2,4,8,FAIL(137)
512,32,2,16,2,FAIL(137)
512,32,4,2,8,FAIL(1)
512,64,8,8,1,FAIL(137)
512,32,2,8,4,FAIL(137)
512,32,2,2,16,FAIL(137)
512,64,16,2,2,FAIL(137)
512,32,4,1,16,FAIL(1)
512,64,8,4,2,FAIL(137)
512,32,2,1,32,FAIL(137)
512,32,2,4,8,FAIL(137)
512,64,16,1,4,FAIL(137)
512,32,2,32,1,OOM ERROR
512,64,8,2,4,FAIL(137)
512,64,64,1,1,FAIL(137)
512,64,8,8,1,FAIL(137)
512,32,2,2,16,FAIL(137)
512,32,2,16,2,OOM ERROR
512,64,32,2,1,FAIL(137)
512,64,8,1,8,FAIL(137)
512,32,2,1,32,FAIL(137)
512,64,8,4,2,FAIL(137)
512,32,2,8,4,OOM ERROR
512,64,32,1,2,FAIL(137)
512,64,64,1,1,FAIL(137)
512,64,4,16,1,FAIL(137)
512,64,8,2,4,FAIL(137)
512,32,2,4,8,FAIL(1)
512,64,4,8,2,FAIL(137)
512,64,16,4,1,FAIL(137)
512,64,32,2,1,FAIL(137)
512,64,8,1,8,FAIL(137)
512,32,2,2,16,FAIL(1)
512,64,4,4,4,FAIL(137)
512,64,16,2,2,FAIL(137)
512,64,32,1,2,FAIL(137)
512,64,4,16,1,FAIL(137)
512,32,2,1,32,FAIL(1)
512,64,4,2,8,FAIL(137)
512,64,16,4,1,FAIL(137)
512,64,4,8,2,FAIL(137)
512,64,16,1,4,FAIL(137)
512,64,16,2,2,FAIL(1)
512,64,4,4,4,FAIL(1)
512,64,8,8,1,FAIL(1)
512,64,4,1,16,FAIL(1)
512,64,64,1,1,FAIL(137)
512,64,8,4,2,FAIL(1)
512,64,4,2,8,FAIL(1)
512,64,2,32,1,FAIL(1)
512,64,32,2,1,FAIL(137)
512,64,16,1,4,FAIL(137)
512,64,4,1,16,FAIL(1)
512,64,8,2,4,FAIL(1)
512,64,2,16,2,FAIL(1)
512,64,8,8,1,FAIL(1)
512,64,32,1,2,FAIL(137)
512,64,2,32,1,FAIL(1)
512,64,8,1,8,FAIL(1)
512,64,2,8,4,FAIL(1)
512,64,8,4,2,FAIL(137)
512,64,16,4,1,FAIL(137)
512,64,4,16,1,FAIL(1)
512,64,2,16,2,FAIL(1)
512,64,2,4,8,FAIL(1)
512,64,8,2,4,FAIL(1)
512,64,16,2,2,FAIL(137)
512,64,4,8,2,FAIL(1)
512,64,2,8,4,FAIL(1)
512,64,2,2,16,FAIL(1)
512,64,8,1,8,FAIL(1)
512,64,16,1,4,FAIL(137)
512,64,4,4,4,FAIL(1)
512,64,2,4,8,FAIL(1)
512,64,2,1,32,FAIL(1)
512,64,4,16,1,FAIL(1)
512,64,8,8,1,FAIL(137)
512,64,4,2,8,FAIL(1)
512,64,2,2,16,FAIL(1)
256,4,64,1,1,FAIL(1)
512,64,8,4,2,FAIL(137)
512,64,4,8,2,FAIL(137)
512,64,2,1,32,FAIL(1)
512,64,4,1,16,FAIL(1)
256,4,32,2,1,FAIL(1)
512,64,8,2,4,FAIL(137)
512,64,4,4,4,FAIL(137)
512,64,2,32,1,FAIL(1)
256,4,64,1,1,FAIL(1)
256,4,32,1,2,FAIL(1)
512,64,4,2,8,FAIL(137)
512,64,8,1,8,FAIL(137)
512,64,4,16,1,OOM ERROR
256,4,16,4,1,FAIL(137)
512,64,4,1,16,FAIL(137)
512,64,2,16,2,FAIL(137)
256,4,32,2,1,FAIL(137)
512,64,4,8,2,OOM ERROR
256,4,16,2,2,FAIL(137)
256,4,32,1,2,FAIL(137)
512,64,2,8,4,FAIL(137)
512,64,2,32,1,FAIL(137)
512,64,4,4,4,OOM ERROR
256,4,16,4,1,FAIL(137)
512,64,2,16,2,FAIL(137)
512,64,2,4,8,FAIL(137)
256,4,16,1,4,FAIL(137)
512,64,4,2,8,OOM ERROR
256,4,8,8,1,FAIL(137)
256,4,16,2,2,FAIL(137)
512,64,2,2,16,FAIL(137)
512,64,2,8,4,FAIL(137)
512,64,4,1,16,OOM ERROR
256,4,16,1,4,FAIL(137)
256,4,8,4,2,FAIL(137)
512,64,2,1,32,FAIL(137)
512,64,2,4,8,FAIL(137)
512,64,2,32,1,OOM ERROR
256,4,8,2,4,FAIL(137)
256,4,8,8,1,FAIL(137)
256,4,64,1,1,FAIL(137)
512,64,2,2,16,FAIL(137)
512,64,2,16,2,OOM ERROR
256,4,32,2,1,FAIL(137)
256,4,8,4,2,FAIL(137)
256,4,8,1,8,FAIL(137)
512,64,2,1,32,FAIL(137)
512,64,2,8,4,OOM ERROR
256,4,4,16,1,FAIL(137)
256,4,32,1,2,FAIL(137)
256,4,64,1,1,FAIL(137)
256,4,8,2,4,FAIL(137)
512,64,2,4,8,OOM ERROR
256,4,4,8,2,FAIL(137)
256,4,32,2,1,FAIL(137)
256,4,16,4,1,FAIL(137)
256,4,8,1,8,FAIL(137)
512,64,2,2,16,OOM ERROR
256,4,4,4,4,FAIL(137)
256,4,16,2,2,FAIL(137)
256,4,4,16,1,FAIL(137)
256,4,32,1,2,FAIL(137)
512,64,2,1,32,OOM ERROR
256,4,4,2,8,FAIL(137)
256,4,16,1,4,FAIL(137)
256,4,16,4,1,FAIL(137)
256,4,4,8,2,FAIL(137)
256,4,4,1,16,FAIL(1)
256,4,4,4,4,FAIL(1)
256,4,16,2,2,FAIL(1)
256,4,8,8,1,FAIL(1)
256,4,64,1,1,FAIL(137)
256,4,2,32,1,FAIL(1)
256,4,8,4,2,FAIL(1)
256,4,4,2,8,FAIL(1)
256,4,16,1,4,FAIL(1)
256,4,32,2,1,FAIL(137)
256,4,2,16,2,FAIL(1)
256,4,8,2,4,FAIL(1)
256,4,8,8,1,FAIL(1)
256,4,4,1,16,FAIL(1)
256,4,32,1,2,FAIL(137)
256,4,8,1,8,FAIL(1)
256,4,8,4,2,FAIL(1)
256,4,2,32,1,FAIL(1)
256,4,2,8,4,FAIL(1)
256,4,16,4,1,FAIL(137)
256,4,4,16,1,FAIL(1)
256,4,8,2,4,FAIL(1)
256,4,2,16,2,FAIL(1)
256,4,2,4,8,FAIL(1)
256,4,16,2,2,FAIL(137)
256,4,4,8,2,FAIL(1)
256,4,8,1,8,FAIL(1)
256,4,2,8,4,FAIL(1)
256,4,2,2,16,FAIL(137)
256,4,16,1,4,FAIL(137)
256,4,4,4,4,FAIL(1)
256,4,4,16,1,FAIL(1)
256,4,2,4,8,FAIL(1)
256,4,2,1,32,FAIL(1)
256,4,8,8,1,FAIL(137)
256,4,4,2,8,FAIL(1)
256,4,2,2,16,FAIL(1)
256,4,4,8,2,FAIL(1)
256,8,64,1,1,FAIL(1)
256,4,8,4,2,FAIL(137)
256,4,4,1,16,FAIL(1)
256,4,4,4,4,FAIL(1)
256,4,2,1,32,FAIL(1)
256,8,32,2,1,FAIL(1)
256,4,8,2,4,FAIL(137)
256,4,2,32,1,FAIL(1)
256,8,64,1,1,FAIL(1)
256,4,4,2,8,FAIL(1)
256,8,32,1,2,FAIL(1)
256,4,8,1,8,FAIL(137)
256,4,4,16,1,OOM ERROR
256,8,16,4,1,FAIL(137)
256,8,32,2,1,FAIL(137)
256,4,4,1,16,FAIL(137)
256,4,2,16,2,FAIL(137)
256,4,4,8,2,OOM ERROR
256,8,16,2,2,FAIL(137)
256,4,2,8,4,FAIL(137)
256,4,2,32,1,FAIL(137)
256,8,32,1,2,FAIL(137)
256,4,4,4,4,OOM ERROR
256,8,16,1,4,FAIL(137)
256,4,2,4,8,FAIL(137)
256,8,16,4,1,FAIL(137)
256,4,2,16,2,FAIL(137)
256,4,4,2,8,FAIL(1)
256,8,16,2,2,FAIL(137)
256,8,8,8,1,FAIL(137)
256,4,2,8,4,FAIL(137)
256,4,2,2,16,FAIL(137)
256,4,4,1,16,OOM ERROR
256,4,2,1,32,FAIL(137)
256,8,16,1,4,FAIL(137)
256,4,2,4,8,FAIL(137)
256,8,8,4,2,FAIL(137)
256,4,2,32,1,OOM ERROR
256,8,64,1,1,FAIL(137)
256,4,2,2,16,FAIL(137)
256,8,8,8,1,FAIL(137)
256,8,8,2,4,FAIL(137)
256,4,2,16,2,FAIL(1)
256,8,8,4,2,FAIL(137)
256,8,32,2,1,FAIL(137)
256,4,2,1,32,FAIL(137)
256,8,8,1,8,FAIL(137)
256,4,2,8,4,OOM ERROR
256,8,4,16,1,FAIL(137)
256,8,8,2,4,FAIL(137)
256,8,32,1,2,FAIL(137)
256,8,64,1,1,FAIL(137)
256,4,2,4,8,OOM ERROR
256,8,16,4,1,FAIL(137)
256,8,4,8,2,FAIL(137)
256,8,8,1,8,FAIL(137)
256,8,32,2,1,FAIL(137)
256,4,2,2,16,FAIL(1)
256,8,16,2,2,FAIL(137)
256,8,4,16,1,FAIL(137)
256,8,4,4,4,FAIL(137)
256,8,32,1,2,FAIL(137)
256,4,2,1,32,OOM ERROR
256,8,4,8,2,FAIL(137)
256,8,16,4,1,FAIL(137)
256,8,16,1,4,FAIL(137)
256,8,4,2,8,FAIL(137)
256,8,16,2,2,FAIL(1)
256,8,8,8,1,FAIL(1)
256,8,4,1,16,FAIL(1)
256,8,4,4,4,FAIL(1)
256,8,64,1,1,FAIL(137)
256,8,16,1,4,FAIL(1)
256,8,2,32,1,FAIL(1)
256,8,4,2,8,FAIL(1)
256,8,8,4,2,FAIL(1)
256,8,32,2,1,FAIL(137)
256,8,2,16,2,FAIL(1)
256,8,4,1,16,FAIL(1)
256,8,8,8,1,FAIL(1)
256,8,8,2,4,FAIL(1)
256,8,32,1,2,FAIL(137)
256,8,2,8,4,FAIL(1)
256,8,2,32,1,FAIL(1)
256,8,8,4,2,FAIL(1)
256,8,8,1,8,FAIL(1)
256,8,16,4,1,FAIL(137)
256,8,2,4,8,FAIL(1)
256,8,2,16,2,FAIL(1)
256,8,8,2,4,FAIL(1)
256,8,4,16,1,FAIL(137)
256,8,16,2,2,FAIL(137)
256,8,2,2,16,FAIL(1)
256,8,2,8,4,FAIL(1)
256,8,8,1,8,FAIL(1)
256,8,4,8,2,FAIL(137)
256,8,16,1,4,FAIL(137)
256,8,2,1,32,FAIL(1)
256,8,2,4,8,FAIL(1)
256,8,4,16,1,FAIL(1)
